ngram,count,label,n
human,86,REJECT,1
sounds,86,REJECT,1
kind,85,REJECT,1
doctor,85,REJECT,1
judgment,85,REJECT,1
increased,85,REJECT,1
graph,85,REJECT,1
temperature,84,REJECT,1
allowed,84,REJECT,1
table,84,REJECT,1
positive,84,REJECT,1
cdots,84,REJECT,1
inclusive,83,REJECT,1
heart,83,REJECT,1
leading,83,REJECT,1
experiencing,83,REJECT,1
small,83,REJECT,1
level,83,REJECT,1
inherently,83,REJECT,1
claim,83,REJECT,1
cultural,83,REJECT,1
can't,82,REJECT,1
stop,82,REJECT,1
fault,82,REJECT,1
income,82,REJECT,1
come,81,REJECT,1
bad,81,REJECT,1
every,80,REJECT,1
effect,80,REJECT,1
one's,80,REJECT,1
solve,80,REJECT,1
concept,80,REJECT,1
shown,80,REJECT,1
suggest,80,REJECT,1
getting,80,REJECT,1
levels,80,REJECT,1
tasks,80,REJECT,1
scientific,79,REJECT,1
friends,79,REJECT,1
proper,79,REJECT,1
episodes,79,REJECT,1
though,79,REJECT,1
area,79,REJECT,1
mind,79,REJECT,1
ed,79,REJECT,1
intercourse,79,REJECT,1
topic,78,REJECT,1
hspace,78,REJECT,1
guilt,78,REJECT,1
sure,77,REJECT,1
incompetent,77,REJECT,1
deserve,77,REJECT,1
old,77,REJECT,1
set,77,REJECT,1
rare,77,REJECT,1
complete,77,REJECT,1
reduce,77,REJECT,1
skin,77,REJECT,1
test,76,REJECT,1
anything,76,REJECT,1
put,76,REJECT,1
genetics,75,REJECT,1
extreme,75,REJECT,1
medications,75,REJECT,1
apd,75,REJECT,1
access,74,REJECT,1
groups,74,REJECT,1
shows,74,REJECT,1
acknowledge,74,REJECT,1
express,74,REJECT,1
speaking,74,REJECT,1
back,74,REJECT,1
suggests,74,REJECT,1
actually,74,REJECT,1
regardless,74,REJECT,1
meaning,73,REJECT,1
desire,73,REJECT,1
points,73,REJECT,1
since,73,REJECT,1
causing,73,REJECT,1
inaccurate,73,REJECT,1
signs,73,REJECT,1
motor,73,REJECT,1
open,72,REJECT,1
numbers,72,REJECT,1
education,72,REJECT,1
supportive,72,REJECT,1
let,72,REJECT,1
despite,72,REJECT,1
typically,72,REJECT,1
object,72,REJECT,1
involuntary,72,REJECT,1
hand,72,REJECT,1
behavioral,71,REJECT,1
book,71,REJECT,1
place,71,REJECT,1
combination,71,REJECT,1
eat,71,REJECT,1
ones,70,REJECT,1
last,70,REJECT,1
events,70,REJECT,1
sad,70,REJECT,1
hallucinations,70,REJECT,1
itself,70,REJECT,1
damage,70,REJECT,1
night,70,REJECT,1
impairment,69,REJECT,1
united,69,REJECT,1
definition,69,REJECT,1
happen,69,REJECT,1
perceived,69,REJECT,1
cope,69,REJECT,1
perform,69,REJECT,1
home,68,REJECT,1
sudden,68,REJECT,1
money,68,REJECT,1
force,68,REJECT,1
seeking,68,REJECT,1
substance,68,REJECT,1
fully,68,REJECT,1
accommodations,68,REJECT,1
seem,68,REJECT,1
price,68,REJECT,1
results,68,REJECT,1
cash,68,REJECT,1
similar,68,REJECT,1
multiple,68,REJECT,1
available,67,REJECT,1
balance,67,REJECT,1
chronic,67,REJECT,1
parenting,67,REJECT,1
image,67,REJECT,1
essay,67,REJECT,1
compulsive,67,REJECT,1
under,66,REJECT,1
tell,66,REJECT,1
expression,66,REJECT,1
treatments,66,REJECT,1
summary,66,REJECT,1
bipolar,66,REJECT,1
decision,66,REJECT,1
personalities,66,REJECT,1
voting,65,REJECT,1
although,65,REJECT,1
accurate,65,REJECT,1
perception,65,REJECT,1
characteristics,65,REJECT,1
list,65,REJECT,1
alcohol,65,REJECT,1
comical,65,REJECT,1
ensure,65,REJECT,1
american,64,REJECT,1
afraid,64,REJECT,1
velocity,64,REJECT,1
addition,64,REJECT,1
involves,64,REJECT,1
keep,64,REJECT,1
article,64,REJECT,1
present,64,REJECT,1
prevent,64,REJECT,1
cycle,63,REJECT,1
higher,63,REJECT,1
source,63,REJECT,1
either,63,REJECT,1
days,63,REJECT,1
name,63,REJECT,1
areas,63,REJECT,1
tax,63,REJECT,1
sleepiness,63,REJECT,1
large,62,REJECT,1
exercise,62,REJECT,1
among,62,REJECT,1
response,62,REJECT,1
hair,62,REJECT,1
distance,62,REJECT,1
weakness,62,REJECT,1
members,62,REJECT,1
start,62,REJECT,1
percent,62,REJECT,1
story,62,REJECT,1
taking,62,REJECT,1
marks,62,REJECT,1
financial,62,REJECT,1
argue,62,REJECT,1
current,62,REJECT,1
penis,62,REJECT,1
label,61,REJECT,1
deal,61,REJECT,1
aware,61,REJECT,1
tend,61,REJECT,1
enough,61,REJECT,1
asd,61,REJECT,1
repetitive,61,REJECT,1
mo,61,REJECT,1
fair,60,REJECT,1
side,60,REJECT,1
little,60,REJECT,1
involve,60,REJECT,1
full,60,REJECT,1
comes,60,REJECT,1
divine,60,REJECT,1
defined,60,REJECT,1
symptom,60,REJECT,1
parts,60,REJECT,1
field,60,REJECT,1
engaging,59,REJECT,1
experienced,59,REJECT,1
contact,59,REJECT,1
i'm,59,REJECT,1
air,59,REJECT,1
choices,59,REJECT,1
gain,59,REJECT,1
standard,59,REJECT,1
rights,59,REJECT,1
maintain,59,REJECT,1
functions,59,REJECT,1
violence,59,REJECT,1
simple,59,REJECT,1
position,59,REJECT,1
mi,59,REJECT,1
pmdd,59,REJECT,1
fnd,59,REJECT,1
call,58,REJECT,1
childhood,58,REJECT,1
injury,58,REJECT,1
failure,58,REJECT,1
appear,58,REJECT,1
non,58,REJECT,1
differences,58,REJECT,1
death,58,REJECT,1
already,58,REJECT,1
responsibility,58,REJECT,1
importance,58,REJECT,1
early,57,REJECT,1
refers,57,REJECT,1
periods,57,REJECT,1
short,57,REJECT,1
provided,57,REJECT,1
play,57,REJECT,1
adults,57,REJECT,1
third,57,REJECT,1
stereotypes,57,REJECT,1
doesn't,57,REJECT,1
textbf,57,REJECT,1
studies,57,REJECT,1
exhibit,57,REJECT,1
length,57,REJECT,1
working,57,REJECT,1
partner,56,REJECT,1
persistent,56,REJECT,1
especially,56,REJECT,1
finally,56,REJECT,1
saying,56,REJECT,1
away,56,REJECT,1
www,56,REJECT,1
thirdly,56,REJECT,1
implies,56,REJECT,1
mn,56,REJECT,1
successful,55,REJECT,1
plan,55,REJECT,1
asked,55,REJECT,1
talking,55,REJECT,1
families,55,REJECT,1
heat,55,REJECT,1
leads,55,REJECT,1
anger,55,REJECT,1
paragraph,55,REJECT,1
developing,55,REJECT,1
code,55,REJECT,1
written,54,REJECT,1
attacks,54,REJECT,1
basic,54,REJECT,1
challenging,54,REJECT,1
illnesses,54,REJECT,1
happens,54,REJECT,1
sleeping,54,REJECT,1
religion,54,REJECT,1
identity,54,REJECT,1
diabetes,54,REJECT,1
opportunities,54,REJECT,1
next,54,REJECT,1
furthermore,53,REJECT,1
step,53,REJECT,1
professionals,53,REJECT,1
chemical,53,REJECT,1
decrease,53,REJECT,1
hline,53,REJECT,1
account,53,REJECT,1
explanation,53,REJECT,1
co,53,REJECT,1
ideas,53,REJECT,1
perspective,52,REJECT,1
rest,52,REJECT,1
they're,52,REJECT,1
taken,52,REJECT,1
hours,52,REJECT,1
muscle,52,REJECT,1
off,52,REJECT,1
promote,52,REJECT,1
ultimately,52,REJECT,1
ethical,52,REJECT,1
pattern,52,REJECT,1
urge,52,REJECT,1
height,51,REJECT,1
major,51,REJECT,1
appearance,51,REJECT,1
matter,51,REJECT,1
car,51,REJECT,1
extremely,51,REJECT,1
frustration,51,REJECT,1
class,51,REJECT,1
interactions,51,REJECT,1
lifestyle,51,REJECT,1
needed,51,REJECT,1
educate,51,REJECT,1
everyday,50,REJECT,1
size,50,REJECT,1
charge,50,REJECT,1
becomes,50,REJECT,1
fatigue,50,REJECT,1
inappropriate,50,REJECT,1
abnormal,50,REJECT,1
government,50,REJECT,1
healthcare,50,REJECT,1
stage,50,REJECT,1
scd,50,REJECT,1
places,49,REJECT,1
includes,49,REJECT,1
anxious,49,REJECT,1
light,49,REJECT,1
eye,49,REJECT,1
stigmatizing,49,REJECT,1
five,49,REJECT,1
client,49,REJECT,1
asleep,49,REJECT,1
single,49,REJECT,1
purpose,49,REJECT,1
assumption,49,REJECT,1
supported,48,REJECT,1
traumatic,48,REJECT,1
aspects,48,REJECT,1
along,48,REJECT,1
direct,48,REJECT,1
loved,48,REJECT,1
potentially,48,REJECT,1
stay,48,REJECT,1
sins,48,REJECT,1
nervous,48,REJECT,1
compassionate,48,REJECT,1
productive,48,REJECT,1
pleasure,48,REJECT,1
mathbf,48,REJECT,1
figure,48,REJECT,1
forms,48,REJECT,1
strengths,48,REJECT,1
student,48,REJECT,1
beyond,48,REJECT,1
sentences,48,REJECT,1
letter,48,REJECT,1
friend,48,REJECT,1
female,48,REJECT,1
volume,47,REJECT,1
processes,47,REJECT,1
model,47,REJECT,1
space,47,REJECT,1
coping,47,REJECT,1
sound,47,REJECT,1
services,47,REJECT,1
creating,47,REJECT,1
believed,47,REJECT,1
four,47,REJECT,1
depressed,47,REJECT,1
visual,47,REJECT,1
required,47,REJECT,1
worth,47,REJECT,1
structure,47,REJECT,1
angle,47,REJECT,1
beta,47,REJECT,1
hold,47,REJECT,1
whole,47,REJECT,1
substances,47,REJECT,1
eyes,47,REJECT,1
dealing,47,REJECT,1
statements,47,REJECT,1
equal,47,REJECT,1
objects,47,REJECT,1
options,46,REJECT,1
opportunity,46,REJECT,1
product,46,REJECT,1
clearly,46,REJECT,1
confidence,46,REJECT,1
special,46,REJECT,1
close,46,REJECT,1
helps,46,REJECT,1
spread,46,REJECT,1
opinion,46,REJECT,1
mathematical,46,REJECT,1
surface,46,REJECT,1
diameter,46,REJECT,1
factor,46,REJECT,1
hope,46,REJECT,1
sales,46,REJECT,1
evil,46,REJECT,1
theta,46,REJECT,1
vaginal,46,REJECT,1
feels,45,REJECT,1
differently,45,REJECT,1
autism,45,REJECT,1
contains,45,REJECT,1
awareness,45,REJECT,1
involved,45,REJECT,1
net,45,REJECT,1
born,45,REJECT,1
muscles,45,REJECT,1
highly,44,REJECT,1
minutes,44,REJECT,1
cells,44,REJECT,1
suppose,44,REJECT,1
additional,44,REJECT,1
initial,44,REJECT,1
limited,44,REJECT,1
accepting,44,REJECT,1
normally,44,REJECT,1
solely,44,REJECT,1
syndrome,44,REJECT,1
doctors,44,REJECT,1
cell,44,REJECT,1
distribution,44,REJECT,1
gas,43,REJECT,1
formula,43,REJECT,1
frequency,43,REJECT,1
particular,43,REJECT,1
severity,43,REJECT,1
aggressive,43,REJECT,1
theory,43,REJECT,1
flow,43,REJECT,1
completely,43,REJECT,1
fall,43,REJECT,1
equations,43,REJECT,1
middle,43,REJECT,1
controlling,43,REJECT,1
greater,43,REJECT,1
interfere,43,REJECT,1
report,43,REJECT,1
takes,43,REJECT,1
informed,43,REJECT,1
free,43,REJECT,1
male,43,REJECT,1
head,43,REJECT,1
painful,43,REJECT,1
psychiatric,42,REJECT,1
association,42,REJECT,1
stock,42,REJECT,1
center,42,REJECT,1
developmental,42,REJECT,1
quite,42,REJECT,1
ask,42,REJECT,1
radius,42,REJECT,1
enjoy,42,REJECT,1
characters,42,REJECT,1
culture,42,REJECT,1
movement,42,REJECT,1
increases,42,REJECT,1
delusion,42,REJECT,1
2x,41,REJECT,1
ml,41,REJECT,1
event,41,REJECT,1
method,41,REJECT,1
breathing,41,REJECT,1
lose,41,REJECT,1
understood,41,REJECT,1
traits,41,REJECT,1
communicating,41,REJECT,1
matrix,41,REJECT,1
output,41,REJECT,1
unit,41,REJECT,1
assumptions,41,REJECT,1
patterns,41,REJECT,1
helping,41,REJECT,1
swings,41,REJECT,1
ourselves,41,REJECT,1
societal,41,REJECT,1
safe,41,REJECT,1
ii,41,REJECT,1
jobs,41,REJECT,1
panic,40,REJECT,1
happy,40,REJECT,1
managed,40,REJECT,1
incapable,40,REJECT,1
effective,40,REJECT,1
misconceptions,40,REJECT,1
discomfort,40,REJECT,1
influence,40,REJECT,1
country,40,REJECT,1
etc,40,REJECT,1
together,40,REJECT,1
frequent,40,REJECT,1
deficiency,40,REJECT,1
achieve,40,REJECT,1
wake,40,REJECT,1
described,39,REJECT,1
future,39,REJECT,1
diseases,39,REJECT,1
isolated,39,REJECT,1
receive,39,REJECT,1
labeling,39,REJECT,1
concentration,39,REJECT,1
misconception,39,REJECT,1
verbal,39,REJECT,1
easily,39,REJECT,1
recovery,39,REJECT,1
allow,39,REJECT,1
legal,39,REJECT,1
guilty,39,REJECT,1
influenced,39,REJECT,1
electric,39,REJECT,1
worse,39,REJECT,1
media,39,REJECT,1
concepts,39,REJECT,1
spelling,39,REJECT,1
coming,39,REJECT,1
vagina,39,REJECT,1
behaviour,39,REJECT,1
variable,39,REJECT,1
stimulation,39,REJECT,1
young,38,REJECT,1
mother,38,REJECT,1
primary,38,REJECT,1
helpful,38,REJECT,1
passed,38,REJECT,1
com,38,REJECT,1
omega,38,REJECT,1
units,38,REJECT,1
quad,38,REJECT,1
share,38,REJECT,1
nothing,38,REJECT,1
products,38,REJECT,1
reflection,38,REJECT,1
axis,38,REJECT,1
encourage,38,REJECT,1
labor,38,REJECT,1
particle,38,REJECT,1
revenue,38,REJECT,1
ts,38,REJECT,1
probability,38,REJECT,1
ih,38,REJECT,1
court,38,REJECT,1
diagnostic,38,REJECT,1
orgasm,38,REJECT,1
erection,38,REJECT,1
spd,38,REJECT,1
attack,37,REJECT,1
answers,37,REJECT,1
paper,37,REJECT,1
physically,37,REJECT,1
communities,37,REJECT,1
room,37,REJECT,1
cure,37,REJECT,1
offer,37,REJECT,1
confused,37,REJECT,1
reach,37,REJECT,1
linear,37,REJECT,1
percentage,37,REJECT,1
draw,37,REJECT,1
sold,37,REJECT,1
concentrating,37,REJECT,1
awake,37,REJECT,1
people's,37,REJECT,1
density,37,REJECT,1
spending,37,REJECT,1
safety,37,REJECT,1
interaction,37,REJECT,1
hearing,37,REJECT,1
performance,37,REJECT,1
countries,37,REJECT,1
ball,37,REJECT,1
week,37,REJECT,1
continue,37,REJECT,1
nurse,37,REJECT,1
unknown,36,REJECT,1
knowledge,36,REJECT,1
outside,36,REJECT,1
month,36,REJECT,1
debilitating,36,REJECT,1
processing,36,REJECT,1
move,36,REJECT,1
democratic,36,REJECT,1
http,36,REJECT,1
habits,36,REJECT,1
decide,36,REJECT,1
funny,36,REJECT,1
cdot,36,REJECT,1
disruptive,36,REJECT,1
risks,36,REJECT,1
lacking,36,REJECT,1
business,36,REJECT,1
reasoning,36,REJECT,1
finding,36,REJECT,1
discriminatory,36,REJECT,1
context,36,REJECT,1
solutions,36,REJECT,1
produce,35,REJECT,1
basis,35,REJECT,1
action,35,REJECT,1
recurrent,35,REJECT,1
episode,35,REJECT,1
break,35,REJECT,1
course,35,REJECT,1
sensitive,35,REJECT,1
misunderstood,35,REJECT,1
thus,35,REJECT,1
yourself,35,REJECT,1
six,35,REJECT,1
pay,35,REJECT,1
https,35,REJECT,1
prone,35,REJECT,1
re,35,REJECT,1
growth,35,REJECT,1
employment,35,REJECT,1
recognizing,35,REJECT,1
explained,35,REJECT,1
equilibrium,35,REJECT,1
maximum,35,REJECT,1
accept,35,REJECT,1
daytime,35,REJECT,1
elements,34,REJECT,1
describes,34,REJECT,1
birth,34,REJECT,1
mild,34,REJECT,1
million,34,REJECT,1
mentally,34,REJECT,1
contributing,34,REJECT,1
triggered,34,REJECT,1
front,34,REJECT,1
presence,34,REJECT,1
ages,34,REJECT,1
expressing,34,REJECT,1
embarrassed,34,REJECT,1
that's,34,REJECT,1
demand,34,REJECT,1
block,34,REJECT,1
acceleration,34,REJECT,1
costs,34,REJECT,1
moreover,34,REJECT,1
failing,34,REJECT,1
blockquote,34,REJECT,1
judged,34,REJECT,1
acts,34,REJECT,1
national,34,REJECT,1
addicted,34,REJECT,1
bid,34,REJECT,1
across,33,REJECT,1
vary,33,REJECT,1
harder,33,REJECT,1
accompanied,33,REJECT,1
connected,33,REJECT,1
pose,33,REJECT,1
components,33,REJECT,1
somehow,33,REJECT,1
struggles,33,REJECT,1
conscious,33,REJECT,1
horizontal,33,REJECT,1
lower,33,REJECT,1
multifaceted,33,REJECT,1
gets,33,REJECT,1
withdrawal,33,REJECT,1
opposite,33,REJECT,1
criteria,33,REJECT,1
circle,33,REJECT,1
